State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.30278	1.27913	1.31461	1.31264	1.34417	1.30672	1.34811	1.42892	1.40330	1.42695	1.43483	1.52944	1.56294	1.68908	1.69697	1.74624	1.74033	1.73047	1.75215	1.76201	1.78369
2	1.68698	1.60074	1.57919	1.60074	1.60613	1.77321	1.83789	1.86484	1.89718	1.84867	1.97802	2.02653	2.07504	2.08043	2.17744	2.17205	2.31758	2.21517	2.15588	2.21517	2.21517
3	4.65656	4.60177	4.45007	4.34050	4.15508	4.05816	3.93174	3.80953	3.69575	3.59461	3.59461	3.58197	3.60725	3.60725	3.71260	3.70418	3.70418	3.74210	3.61989	3.59882	3.64939
4	2.47104	2.34909	2.26565	2.29775	2.23356	2.13087	2.16296	2.41969	2.54164	2.42611	2.44537	2.45820	2.32984	2.31700	2.29133	2.27207	2.17580	2.21431	2.45820	2.44537	2.29775
5	3.25881	3.30691	3.43317	3.36102	3.30090	3.35501	3.37906	3.40311	3.35501	3.28887	3.09647	2.89204	2.71768	2.64553	2.58540	2.53129	2.44110	2.54933	2.51926	2.47718	2.45313
6	0.69074	0.66916	0.64503	0.63995	0.63741	0.63107	0.60948	0.58282	0.57901	0.55488	0.54345	0.53583	0.52949	0.52187	0.52822	0.51806	0.52949	0.51044	0.51679	0.53457	0.55234
7	1.55074	1.55890	1.55630	1.56594	1.57521	1.57836	1.59283	1.59542	1.60951	1.64567	1.68905	1.71501	1.75265	1.77638	1.80475	1.83645	1.86982	1.89411	1.91024	1.91729	1.93231
8	0.43497	0.43475	0.43537	0.43831	0.43797	0.43848	0.43831	0.43735	0.44052	0.44601	0.45099	0.45478	0.45789	0.46094	0.46400	0.46615	0.46915	0.47277	0.47464	0.47712	0.48041
9	1.99039	2.07673	2.06764	2.03583	2.06764	2.19943	2.24032	2.31303	2.39483	2.34484	2.13581	2.37665	2.37665	2.33121	2.28577	2.30849	2.43573	2.39937	2.39937	2.55388	2.39483
10	1.62726	1.65819	1.68138	1.66205	1.65432	1.66592	1.68524	1.70843	1.61567	1.53836	1.46492	1.41854	1.39921	1.39148	1.37602	1.37602	1.43014	1.39921	1.42241	1.41468	1.39535
11	1.13192	1.12966	1.13701	1.13701	1.14832	1.15001	1.15680	1.16641	1.15793	1.14549	1.13305	1.11213	1.09856	1.08273	1.08160	1.06690	1.04824	1.04202	1.04146	1.02958	1.02676
12	4.93458	4.93940	4.95468	4.90804	4.89195	4.86139	4.78419	4.72307	4.65472	4.51800	4.33706	4.15450	3.98803	3.83765	3.65348	3.50069	3.30366	3.17338	3.06561	2.97796	2.89432
