State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.54828	2.77441	2.89095	2.79876	2.76571	2.74483	2.43695	1.80206	1.36894	1.27501	1.26109	1.17934	1.11150	1.14281	1.18282	1.25066	1.48374	1.65942	1.86990	1.90816	1.83511
2	2.79693	2.92060	3.05379	3.23930	3.53897	3.72448	4.03367	4.02415	3.47714	2.80169	2.24040	1.98354	1.81230	1.58398	1.44603	1.48409	1.56971	1.67911	1.58398	1.62203	1.66008
3	5.79441	6.89527	8.42755	10.98631	14.92488	20.20604	26.51369	34.15279	41.58733	42.98944	44.43618	50.31241	49.80661	47.54538	43.07126	34.68462	25.58763	18.17540	12.88307	9.27923	6.85436
4	4.97339	6.22523	7.81694	11.02302	14.57463	17.71273	21.06042	22.14233	19.18549	20.14845	19.48004	11.02868	10.71147	11.30058	12.85830	14.93715	13.67398	11.46485	8.80255	6.72370	5.37556
5	9.75313	10.13519	10.01845	9.13229	7.20607	4.95616	3.14138	2.28705	1.77764	1.65029	1.67682	1.74580	1.89438	2.70095	5.56109	12.80430	22.47253	28.84019	32.22036	32.63426	30.75580
6	1.22596	1.01416	0.85391	0.69814	0.59729	0.54126	0.49643	0.46730	0.44713	0.44152	0.43368	0.43256	0.44825	0.47066	0.48747	0.50876	0.61746	0.96821	1.46016	2.10228	2.80154
7	1.80075	1.75019	1.68605	1.58116	1.44207	1.26732	1.08290	0.91175	0.81357	0.78035	0.75794	0.76612	0.78608	0.82470	0.85562	0.90095	0.96247	1.04543	1.12021	1.19074	1.24981
8	0.48410	0.47696	0.46643	0.45314	0.43437	0.41245	0.38598	0.35972	0.34344	0.33400	0.33001	0.32961	0.33380	0.33760	0.34219	0.34748	0.35512	0.36391	0.37230	0.37919	0.38473
9	2.37825	2.32611	2.31809	2.35419	2.27799	2.29804	1.91303	1.64031	1.53203	1.66036	1.74860	1.37963	1.23926	1.30343	1.53203	1.64833	1.78870	1.76464	1.78870	1.74057	1.71250
10	1.28946	1.33380	1.43614	1.50095	1.59647	1.62035	1.62376	1.63399	1.53848	1.62035	1.67834	1.71586	1.77044	1.75339	1.67493	1.62717	1.58965	1.54530	1.50436	1.41226	1.32357
11	1.08480	1.07831	1.09728	1.09328	1.08979	1.09029	1.09029	1.07382	1.06784	1.07133	1.07582	1.08680	1.09428	1.10875	1.13171	1.14568	1.15167	1.15666	1.14668	1.13819	1.12821
12	0.80840	0.74381	0.68278	0.64942	0.61180	0.58838	0.55928	0.54438	0.54012	0.54509	0.56354	0.57631	0.59264	0.59974	0.61322	0.63522	0.65864	0.70975	0.79279	0.89357	1.06036
