12	11	E	-1.0434531941271517E7	198
probinit	1	1.2710817E-317
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	0.0
probinit	7	7.496053453340895E-75
probinit	8	1.0
probinit	9	3.062971515401135E-260
probinit	10	3.265099963918929E-266
probinit	11	0.0
probinit	12	0.0
transitionprobs	1	1	0.7265993747722347
transitionprobs	1	2	0.06399561360518884
transitionprobs	1	3	4.265638824860669E-4
transitionprobs	1	4	0.016672144425546903
transitionprobs	1	5	0.0028957927599112376
transitionprobs	1	6	0.00204754280958815
transitionprobs	1	7	0.14318686243821746
transitionprobs	1	8	0.03450978582367296
transitionprobs	1	9	0.005372470379404121
transitionprobs	1	10	0.0010808030829048438
transitionprobs	1	11	2.6606870867655722E-5
transitionprobs	1	12	0.0031864391499771137
transitionprobs	2	1	0.1881477930396329
transitionprobs	2	2	0.7688297918783885
transitionprobs	2	3	0.027048356251557906
transitionprobs	2	4	0.0034871473326279117
transitionprobs	2	5	0.00530423083217518
transitionprobs	2	6	7.089192056623712E-4
transitionprobs	2	7	0.002331987662071126
transitionprobs	2	8	0.0
transitionprobs	2	9	7.966911718805772E-4
transitionprobs	2	10	0.0
transitionprobs	2	11	0.0
transitionprobs	2	12	0.003345082626003483
transitionprobs	3	1	0.0010651390028614388
transitionprobs	3	2	0.020399557665254312
transitionprobs	3	3	0.8506761660172713
transitionprobs	3	4	0.08074682605932358
transitionprobs	3	5	0.042362029673972214
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0037180522531142742
transitionprobs	3	8	8.7234135434463E-4
transitionprobs	3	9	9.64773352609002E-5
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	6.34106385974147E-5
transitionprobs	4	1	0.06290975079023957
transitionprobs	4	2	0.004369898436414277
transitionprobs	4	3	0.12101045069589288
transitionprobs	4	4	0.6124069598546416
transitionprobs	4	5	0.006237294363077532
transitionprobs	4	6	0.0
transitionprobs	4	7	0.08556370058381618
transitionprobs	4	8	0.05253803924394682
transitionprobs	4	9	0.0338549847200765
transitionprobs	4	10	0.009249207448849783
transitionprobs	4	11	0.011555448317785193
transitionprobs	4	12	3.042655452595899E-4
transitionprobs	5	1	0.00850103488126039
transitionprobs	5	2	0.005748273017521289
transitionprobs	5	3	0.05851509105392933
transitionprobs	5	4	0.0056445001239710454
transitionprobs	5	5	0.7943665683882001
transitionprobs	5	6	0.11242308143568927
transitionprobs	5	7	2.2725836435193603E-4
transitionprobs	5	8	0.0
transitionprobs	5	9	3.96710563686035E-5
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	0.01453452167870821
transitionprobs	6	1	0.0014915306293852898
transitionprobs	6	2	2.0386659761956544E-4
transitionprobs	6	3	0.0
transitionprobs	6	4	0.0
transitionprobs	6	5	0.023394371996615773
transitionprobs	6	6	0.9524702634551917
transitionprobs	6	7	0.015292014317716448
transitionprobs	6	8	0.0
transitionprobs	6	9	0.0
transitionprobs	6	10	0.0
transitionprobs	6	11	0.0
transitionprobs	6	12	0.007147953003471226
transitionprobs	7	1	0.01470894696558149
transitionprobs	7	2	9.51647739675115E-5
transitionprobs	7	3	1.5232509080791132E-4
transitionprobs	7	4	0.002660657610661162
transitionprobs	7	5	2.100716421587042E-5
transitionprobs	7	6	0.0022462783896420495
transitionprobs	7	7	0.9577659229132618
transitionprobs	7	8	4.721937433035977E-8
transitionprobs	7	9	0.016203977376835505
transitionprobs	7	10	8.332368596547606E-4
transitionprobs	7	11	1.5729634188972667E-4
transitionprobs	7	12	0.00515513929410788
transitionprobs	8	1	0.0011005889682425675
transitionprobs	8	2	0.0
transitionprobs	8	3	1.236662805023756E-5
transitionprobs	8	4	4.7339088735911665E-4
transitionprobs	8	5	0.0
transitionprobs	8	6	0.0
transitionprobs	8	7	1.9109296716347213E-8
transitionprobs	8	8	0.9896959093378616
transitionprobs	8	9	0.0024914647429182036
transitionprobs	8	10	0.0026139812121908487
transitionprobs	8	11	0.0036122791140807296
transitionprobs	8	12	0.0
transitionprobs	9	1	0.00868589084667281
transitionprobs	9	2	5.835788830508453E-4
transitionprobs	9	3	1.4839653553950146E-4
transitionprobs	9	4	0.017683203474102953
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.2600554627684454
transitionprobs	9	8	0.1327894678095049
transitionprobs	9	9	0.5539775359770054
transitionprobs	9	10	0.00455099192054605
transitionprobs	9	11	0.019477498341603686
transitionprobs	9	12	0.0020479734435284416
transitionprobs	10	1	0.001932416234757899
transitionprobs	10	2	1.4647879435415197E-4
transitionprobs	10	3	0.0
transitionprobs	10	4	0.003710705077243595
transitionprobs	10	5	0.0
transitionprobs	10	6	4.854920969756527E-6
transitionprobs	10	7	0.012483698726147038
transitionprobs	10	8	0.11962476896356877
transitionprobs	10	9	0.004198240565191152
transitionprobs	10	10	0.852884643178623
transitionprobs	10	11	0.00462471548145459
transitionprobs	10	12	3.8947805769026474E-4
transitionprobs	11	1	6.506476485165737E-8
transitionprobs	11	2	0.0
transitionprobs	11	3	0.0
transitionprobs	11	4	0.0010366942792445716
transitionprobs	11	5	0.0
transitionprobs	11	6	0.0
transitionprobs	11	7	4.994318280868091E-4
transitionprobs	11	8	0.034768982651062576
transitionprobs	11	9	0.0036589794013915287
transitionprobs	11	10	8.16751567256716E-4
transitionprobs	11	11	0.9592190952081928
transitionprobs	11	12	0.0
transitionprobs	12	1	0.0013838747877191048
transitionprobs	12	2	5.49910345314916E-4
transitionprobs	12	3	5.053380025115023E-6
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0018240917568037472
transitionprobs	12	6	0.004332186986669341
transitionprobs	12	7	0.02220138779705001
transitionprobs	12	8	0.0
transitionprobs	12	9	5.156608738251103E-4
transitionprobs	12	10	1.366654511416407E-4
transitionprobs	12	11	0.0
transitionprobs	12	12	0.9690511686214509
emissionprobs	1	0	CtcfAlnRep1	0	0.9634308361746609
emissionprobs	1	0	CtcfAlnRep1	1	0.036569163825339215
emissionprobs	1	1	EzhAlnRep1	0	0.9897574304070799
emissionprobs	1	1	EzhAlnRep1	1	0.010242569592920144
emissionprobs	1	2	H3k04meAlnRep1	0	0.38140503658954983
emissionprobs	1	2	H3k04meAlnRep1	1	0.6185949634104501
emissionprobs	1	3	H3k09meAlnRep1	0	0.993297327810276
emissionprobs	1	3	H3k09meAlnRep1	1	0.006702672189724118
emissionprobs	1	4	H3k27acAlnRep1	0	0.9074603701101868
emissionprobs	1	4	H3k27acAlnRep1	1	0.0925396298898132
